id,name,main_artist,key,mode,time_signature,duration_ms_x,danceability,loudness,energy,instrumentalness,liveness,valence,speechiness,tempo,popularity,youtube_views,last_fm_playcount,last_fm_listeners
3E6lbRBo9exWYmJbILTWBQ,Souvenir chbab,Bilal Sghir,8,0,4,335986,0.585,-6.16,0.822,0.0,0.454,0.91,0.108,87.977,22,1253871,2,2
4eYcrm3RWI6hjxJCA0YX5m,Sid el juge,Cheb Bilal,0,0,4,361440,0.658,-5.758,0.863,0.000912,0.0601,0.959,0.0647,172.024,22,8037047,85,52
0nreFOR4Goy1DaoSIJZY8u,Ouach Etsalini,Cheb Mami,0,0,4,282013,0.538,-6.007,0.687,0.0,0.0782,0.859,0.04,93.172,22,205534,1620,964
7qh6sRpSpeZpHsSICdwzDJ,Douni el bladi,Cheb Mami,0,1,4,323760,0.581,-6.719,0.783,4.53e-06,0.0617,0.963,0.0356,153.478,22,904077,2747,1157
7vRsAAgM5QdKeWs7aWZQvO,Manich Délicat,Bilal Sghir,3,0,4,256744,0.515,-7.075,0.887,0.0,0.0906,0.859,0.0425,172.069,22,1621146,41,18
0ff078VqYAMwQd7PgQwvFF,Ma3andnach Ou Maykhasnash,Cheb Bello,10,1,4,295209,0.407,-4.716,0.942,2.71e-06,0.085,0.836,0.251,93.191,22,2664681,1,1
5iavbWPYelz1mwDYuO5z7O,Saragossa,Cheb Bilal,2,1,4,283640,0.715,-7.277,0.739,0.0,0.868,0.612,0.0413,96.957,22,6126872,553,243
789tcPy9WZx47n5Y1j5ldV,Choufou Rwahkoum Ki Dayrin,Cheba Dalila,2,1,4,366708,0.573,-2.137,0.86,0.0,0.0583,0.632,0.192,93.007,21,25220776,3,3
41mTbvWrISXcmjXCwzHHui,Gaiye Bil Salama,Cheb Mami,5,0,4,288893,0.734,-5.67,0.562,0.0,0.089,0.608,0.0423,92.997,21,135407,2682,1056
6YZsRIzNvS7LNQt3ixZZUt,Enfin lkit litfhamn,Cheb Hasni,5,1,4,280706,0.473,-6.902,0.74,1.25e-05,0.298,0.81,0.0317,88.66,21,58946,140,65
0rRVEa5Ycl82vz4jdx2xPo,L'amour Maak,Kader Japonais,0,0,4,201766,0.397,-6.535,0.762,6.27e-05,0.452,0.423,0.135,166.041,21,4685092,35,23
6kmK8fIOBUdSLMTV4PWyv1,Passé'K Maaya,Kader Japonais,0,0,4,398640,0.542,-7.223,0.841,0.0,0.346,0.828,0.0692,87.969,21,11443452,102,28
33sVqXUncRSfB8vPbRLmAI,Alabali Galbak Hnin,Cheb Djalil,3,0,4,367717,0.437,-5.968,0.804,0.0,0.115,0.879,0.0656,88.372,21,7333239,0,0
2sKYbnTGyz3woxNq6SM9yn,Drahem karoune,Cheb Mourad,2,0,4,442533,0.731,-9.44,0.778,3.92e-06,0.0955,0.853,0.0387,93.956,21,907,15,4
55NbL7oLguipT1hH5cTRsp,Jorhi ma bra,Kader Japonais,2,0,4,357840,0.518,-5.565,0.883,4.05e-06,0.0958,0.855,0.0894,173.79,21,3390749,91,13
78ETIb2z60yYWt6EFBiedv,Kteltini,Cheb Bello,5,1,4,266631,0.553,-4.572,0.903,0.0,0.145,0.593,0.252,93.719,21,15224229,67,13
