id,name,main_artist,key,mode,time_signature,duration_ms_x,danceability,loudness,energy,instrumentalness,liveness,valence,speechiness,tempo,popularity,youtube_views
0F9dp18jXQuyBL3gbn64zl,Jah Errillisse,Cheikh el Hasnaoui,8,0,3,372706,0.406,-7.449,0.533,0.875,0.164,0.66,0.0878,140.464,0,23254
2zqxikLPy7io36XqGFcnvy,Ya Zahiya,Cheikh el Hasnaoui,8,0,4,369706,0.569,-10.005,0.434,4.58e-06,0.0709,0.862,0.0314,142.035,0,143394
1b4REsH2InuHtLyOie0OrZ,Sani Sani,Cheikh el Hasnaoui,5,1,4,172910,0.602,-9.358,0.603,0.00338,0.157,0.861,0.252,121.687,0,54158
2yLuFBUx7XK2sRD9qEzJQ4,Truhed Teggid Iyi,Cheikh el Hasnaoui,4,1,3,83543,0.671,-12.251,0.466,0.911,0.2,0.93,0.113,150.932,0,397
50BrBwzIs8SSoKFa9q9bkW,"Ayen, Ayen",Cheikh el Hasnaoui,8,1,3,179504,0.299,-9.687,0.632,0.867,0.0799,0.591,0.0549,90.329,0,6327
0Tj53HWPxODsa6zrVUEugi,Andda Ar A Ttaffay,Cheikh el Hasnaoui,5,1,3,168973,0.485,-7.391,0.8,0.828,0.506,0.934,0.0794,77.193,0,1386
6h4DvKBA0AKVT2MU42xBO8,Sahrane ellil,Cheikh el Hasnaoui,9,1,4,185400,0.427,-4.117,0.691,6.16e-05,0.0845,0.596,0.0472,112.325,0,4648
3yI3Kb6TTndxksbyRVqT8D,Amedhouh,Cheikh el Hasnaoui,0,1,4,208693,0.346,-5.87,0.597,0.000249,0.179,0.586,0.0316,148.173,0,18497
2QzG3cwnCPY8SaKqEOd3B9,H'mama s'maêtha t'ghani,Cheikh el Hasnaoui,1,0,4,496146,0.563,-5.493,0.484,0.0176,0.0885,0.402,0.0474,93.732,0,909
4ESU3TcOOMtXxuHdEbw6B5,Ya qamriyat el bouroudj,Cheikh el Hasnaoui,9,1,4,346133,0.615,-6.562,0.832,0.756,0.872,0.708,0.117,120.036,0,51190
1kwGUcwuqWT70wYPflnPNw,Ya ahl Ezzine Elfassi,Cheikh el Hasnaoui,2,1,4,785253,0.465,-16.005,0.298,0.542,0.209,0.808,0.0433,97.947,0,13570
0vyhqNJ64cDsnXsA02nBCd,Ya oulfi Meryem,Cheikh el Hasnaoui,1,1,4,890613,0.558,-10.549,0.408,0.439,0.172,0.513,0.0495,91.495,0,18491
0KNaTtNlxzN9AWYB9Zg8WG,Malou Bta Aaliya,Cheikh el Hasnaoui,5,0,3,1016040,0.482,-12.06,0.265,0.124,0.13,0.442,0.0526,133.254,0,10624
1HtwFbAvr16avw7Y1a2CQR,Adhrouhagh - Remasterisé,Cheikh el Hasnaoui,6,0,4,172440,0.592,-19.221,0.358,0.914,0.0917,0.859,0.0374,97.478,0,4081
21GXN7w5pXGCK8FTwwipfs,Alghorba touar - Remasterisé,Cheikh el Hasnaoui,10,1,3,197466,0.552,-8.95,0.487,0.893,0.107,0.68,0.0785,80.808,0,3388
6oGBWIl3cp3cInfExTdBXb,Elghorba tehreq,Cheikh el Hasnaoui,6,1,4,165720,0.412,-6.582,0.726,0.0232,0.207,0.855,0.0436,158.425,0,4254
56OMh953I3TwFIK3xt3H1B,Avhri tsalim fellas,Cheikh el Hasnaoui,6,0,4,167733,0.506,-9.602,0.522,0.691,0.102,0.941,0.0386,96.377,0,3549
0xuGC7b2MeKcG1ovYGvPmv,Voulaayoune thibarkanine,Cheikh el Hasnaoui,11,1,4,171240,0.766,-7.788,0.771,0.00713,0.131,0.962,0.0489,96.432,0,2640
78NL6mgtU9haTdd9Huy8xg,Ayen ayen,Cheikh el Hasnaoui,8,1,3,182240,0.327,-9.718,0.638,0.879,0.0777,0.642,0.0569,88.541,0,6327
2C5eqRyHpiRMBo32za1ver,Adhrouhagh,Cheikh el Hasnaoui,6,0,3,172386,0.472,-19.222,0.351,0.915,0.0922,0.869,0.059,128.185,0,999
6VA9USnzRFTfBce02S2Ori,Asmi nala dhigourdah,Cheikh el Hasnaoui,0,1,4,209226,0.46,-9.325,0.469,0.0163,0.221,0.645,0.049,147.334,0,11154
63LbFnUGXRGpNVezwsPOlP,Athine hamlagh,Cheikh el Hasnaoui,8,0,4,163346,0.684,-8.651,0.594,0.887,0.279,0.918,0.0637,123.955,0,3655
19oznadPf6enxHDQwQlN7R,Atuihdayine,Cheikh el Hasnaoui,6,1,3,176866,0.551,-12.168,0.469,0.901,0.102,0.71,0.116,81.436,0,78
