id,name,main_artist,key,mode,time_signature,duration_ms_x,danceability,loudness,energy,instrumentalness,liveness,valence,speechiness,tempo,popularity,last_fm_playcount,last_fm_listeners
4dmyopxFbYWHgNenhEhtl9,Ah ya ouelfi aàti,Kamel Messaoudi,5,1,5,457693,0.436,-10.0,0.383,0.000783,0.114,0.363,0.0901,81.201,0,0,0
1fLOXUu9O7tEYKuiHr4nO9,Ghram kdem lala,Kamel Messaoudi,0,1,3,278040,0.456,-3.931,0.798,0.0,0.0975,0.943,0.036,79.073,0,0,0
237OiJHfLHCH8LSenV25ww,Ya n joume ellile,Kamel Messaoudi,4,0,3,457893,0.325,-8.549,0.428,0.0,0.464,0.638,0.0397,159.511,0,0,0
4oq0ggJsGNwWRPwSMoLDCY,Rahou Mqadar,Kamel Messaoudi,11,0,4,338306,0.437,-4.962,0.686,3.59e-05,0.183,0.822,0.0295,140.208,0,15,8
5VgtKVItfrCHmHuQXQDRcn,هاولوه هاولوه,Kamel Messaoudi,5,0,3,277680,0.46,-6.387,0.552,0.0143,0.348,0.915,0.056,145.221,0,0,0
0TGt18YSKLknphV2xDMGnV,Arouah arouah,Kamel Messaoudi,1,1,4,296346,0.581,-9.864,0.539,1.46e-05,0.0938,0.79,0.0446,101.844,0,0,0
6tWIewsfPZRnHkQ7sMl33L,Fel Mnem,Kamel Messaoudi,0,1,3,458013,0.431,-9.619,0.32,1.5e-05,0.0688,0.548,0.0573,94.216,0,0,0
4dXwInLNk9qs0g7De7TauM,Bahja Bidha,Kamel Messaoudi,11,0,4,357306,0.645,-12.435,0.331,0.0,0.168,0.713,0.0463,101.433,0,0,0
7H4cXq9bV3qwV82d1lawZl,كولو الزينت العاصم,Kamel Messaoudi,3,1,4,310933,0.666,-7.076,0.455,0.0302,0.248,0.737,0.0358,109.086,0,0,0
2AFMR9B5uJSvVnXCTA4Rvr,Allah yahdiq,Kamel Messaoudi,2,1,4,584280,0.609,-7.516,0.484,1.7e-05,0.353,0.721,0.0319,105.74,0,0,0
6Ruz8n8lo2pNqFSvRJtU86,Habit el Youm,Kamel Messaoudi,11,0,3,345386,0.373,-4.863,0.83,0.000588,0.258,0.701,0.0347,153.365,0,33,17
2G68EPe8xFlZlUUmkQrdya,Ya rayeh,Kamel Messaoudi,2,1,4,184826,0.656,-2.517,0.817,0.0,0.408,0.867,0.033,102.712,0,0,0
2YKLaYtWTilIaFzUMWAifZ,Ya di Allah,Kamel Messaoudi,1,1,3,1075466,0.54,-6.024,0.679,0.0104,0.582,0.596,0.0353,120.92,0,0,0
43iAEYMAoHzUJFf6D8ARTK,Nechkar El Karim,Kamel Messaoudi,7,1,4,429013,0.571,-11.044,0.366,4.01e-05,0.0695,0.596,0.0503,97.693,0,0,0
2UrJY1Wehd6RknJGWzKn89,Amedhouh,Kamel Messaoudi,0,1,4,208693,0.346,-5.87,0.597,0.000249,0.179,0.586,0.0316,148.173,0,0,0
6DXC0QLIY7toVVv7n36RT1,Elli Heb Slahou,Kamel Messaoudi,7,0,4,363973,0.653,-10.411,0.483,6.55e-06,0.428,0.891,0.034,101.708,0,0,0
